Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet	Category
WX604538	O=C1CCNc2ccccc21	117158	BUWPZNOVIHAWHW-UHFFFAOYSA-N	2,3-dihydro-1H-quinolin-4-one		5	paper	Europe PMC	"""2,3-dihydro-1H-quinolin-4-one"""	exact_name	medium	Selective C-H Olefination of Indolines (C5) and Tetrahydroquinolines (C6) by Pd/S,O-Ligand Catalysis.	2019	31710228	https://doi.org/10.1021/acs.orglett.9b03505	Jia WL, Westerveld N, Wong KM, Morsch T, Hakkennes M, Naksomboon K, Fernández-Ibáñez MÁ.	Org Lett		papers_only
WX604538	O=C1CCNc2ccccc21	117158	BUWPZNOVIHAWHW-UHFFFAOYSA-N	2,3-dihydro-1H-quinolin-4-one		5	paper	Europe PMC	"""2,3-dihydro-1H-quinolin-4-one"""	exact_name	medium	Insights on a new sulfonamide chalcone with potential antineoplastic application.	2021	34173883	https://doi.org/10.1007/s00894-021-04818-w	Wenceslau PRS, de Paula RLG, Duarte VS, D'Oliveira GDC, Guimarães LMM, Pérez CN, Borges LL, Martins JLR, Fajemiroye JO, Franco CHJ, Perjesi P, Napolitano HB.	J Mol Model		papers_only
WX604538	O=C1CCNc2ccccc21	117158	BUWPZNOVIHAWHW-UHFFFAOYSA-N	2,3-dihydro-1H-quinolin-4-one		5	paper	Europe PMC	"""2,3-dihydro-1H-quinolin-4-one"""	exact_name	medium	Efficient Approach for the Synthesis of Aryl Vinyl Ketones and Its Synthetic Application to Mimosifoliol with DFT and Autodocking Studies.	2023	37687043	https://doi.org/10.3390/molecules28176214	Reddy TS, Raja K, Mandapati KR, Goli SR, Babu MSS.	Molecules		papers_only
WX604538	O=C1CCNc2ccccc21	117158	BUWPZNOVIHAWHW-UHFFFAOYSA-N	2,3-dihydro-1H-quinolin-4-one		5	paper	Europe PMC	"""2,3-dihydro-1H-quinolin-4-one"""	exact_name	medium	Using a function-first ‘scout fragment’-based approach to develop allosteric covalent inhibitors of conformationally dynamic helicase mechanoenzymes	2023	PPR731790	https://doi.org/10.1101/2023.09.25.559391	Ramsey JR, Shelton PM, Heiss TK, Olinares PDB, Vostal LE, Soileau H, Grasso M, Warrington S, Adaniya S, Miller M, Sun S, Huggins DJ, Myers RW, Chait BT, Vinogradova EV, Kapoor TM.	PPR		papers_only
WX604740	NC1CNc2ccccc2C1	4055118	FBSQFLMMNVFTRT-UHFFFAOYSA-N	1,2,3,4-tetrahydroquinolin-3-amine		2	paper	Europe PMC	"""1,2,3,4-tetrahydroquinolin-3-amine"""	exact_name	medium	Novel Analogues of (R)-5-(Methylamino)-5,6-dihydro-4H-imidazo[4,5,1-ij]quinolin-2(1H)-one (Sumanirole) Provide Clues to Dopamine D2/D3 Receptor Agonist Selectivity.	2016	27035329	https://doi.org/10.1021/acs.jmedchem.5b01612	Zou MF, Keck TM, Kumar V, Donthamsetti P, Michino M, Burzynski C, Schweppe C, Bonifazi A, Free RB, Sibley DR, Janowsky A, Shi L, Javitch JA, Newman AH.	J Med Chem		papers_only
WX604740	NC1CNc2ccccc2C1	4055118	FBSQFLMMNVFTRT-UHFFFAOYSA-N	1,2,3,4-tetrahydroquinolin-3-amine		2	paper	Europe PMC	"""1,2,3,4-tetrahydroquinolin-3-amine"""	exact_name	medium	A Nurr1 Agonist Derived from the Natural Ligand DHI Induces Neuroprotective Gene Expression.	2025	39919139	https://doi.org/10.1021/acs.jmedchem.4c03104	Egner M, Busch R, López-García Ú, Lewandowski M, Höfner G, Wein T, Marschner JA, Merk D.	J Med Chem		papers_only
WX606003	Cc1nc(N)sc1C	73238	XMXLBDNVSIHRRA-UHFFFAOYSA-N	4,5-dimethyl-1,3-thiazol-2-amine		3	paper	Europe PMC	"""4,5-dimethyl-1,3-thiazol-2-amine"""	exact_name	medium	Identification of 2-Amino Benzothiazoles with Bactericidal Activity against Mycobacterium tuberculosis.	2023	36688635	https://doi.org/10.1128/spectrum.04974-22	Bonnett S, Jee JA, Chettiar S, Ovechkina Y, Korkegian A, Greve E, Odingo J, Parish T.	Microbiol Spectr		papers_only
WX606003	Cc1nc(N)sc1C	73238	XMXLBDNVSIHRRA-UHFFFAOYSA-N	4,5-dimethyl-1,3-thiazol-2-amine		3	paper	Europe PMC	"""4,5-dimethyl-1,3-thiazol-2-amine"""	exact_name	medium	A principal odor map unifies diverse tasks in olfactory perception.	2023	37651511	https://doi.org/10.1126/science.ade4401	Lee BK, Mayhew EJ, Sanchez-Lengeling B, Wei JN, Qian WW, Little KA, Andres M, Nguyen BB, Moloy T, Yasonik J, Parker JK, Gerkin RC, Mainland JD, Wiltschko AB.	Science		papers_only
WX606003	Cc1nc(N)sc1C	73238	XMXLBDNVSIHRRA-UHFFFAOYSA-N	4,5-dimethyl-1,3-thiazol-2-amine		3	paper	Europe PMC	"""CC1=C(SC(=N1)N)C"""	exact_smiles	low	Identification of a novel competing endogenous RNA network and candidate drugs associated with ferroptosis in aldosterone-producing adenomas.	2023	37709486	https://doi.org/10.18632/aging.205028	Hanxiao Y, Boyun Y, Minyue J, Xiaoxiao S.	Aging (Albany NY)		papers_only
WX606017	Cc1csc(N)c1C#N	264281	VVLPOLLOKMOHOP-UHFFFAOYSA-N	2-amino-4-methylthiophene-3-carbonitrile		2	paper	Europe PMC	"""2-amino-4-methylthiophene-3-carbonitrile"""	exact_name	medium	Design, Molecular Modeling and Synthesis of Metal-Free Sensitizers of Thieno Pyridine Dyes as Light-Harvesting Materials with Efficiency Improvement Using Plasmonic Nanoparticles.	2020	32326499	https://doi.org/10.3390/molecules25081813	Khalifa ME, Almalki ASA, Merazga A, Mersal GAM.	Molecules		papers_only
