smiles	catalog_id	found_in_enaminestore
C#CCCC1(CCC(=O)NCCc2cc(F)cc3c2OCOC3)N=N1	Z2866904164	yes
C#CCCC1(CCC(=O)N2CCCN(Cc3noc(C)n3)CC2)N=N1	Z2866904184	yes
C#CCCC1(CCC(=O)N2CCN(C(C)c3nc(C)no3)CC2)N=N1	Z2866904186	yes
C#CCCC1(CCC(=O)Nc2ccc(F)c(N3CCOCC3)c2)N=N1	Z2866904189	yes
C#CCCC1(CCC(=O)N2CCC(Oc3ncccc3F)CC2)N=N1	Z2866904191	yes
C#CCCC1(CCC(=O)N2CCc3ccc(Cl)cc3C(C)C2)N=N1	Z2866904208	yes
C#CCCC1(CCC(=O)N2CC3(CCC3)c3ccccc32)N=N1	Z2866904210	yes
C#CCCC1(CCC(=O)NCc2nccc(C(F)F)n2)N=N1	Z2866904214	yes
C#CCCC1(CCC(=O)N2CCN(Cc3nnc(C)n3C)CC2)N=N1	Z2866904217	yes
C#CCCC1(CCC(=O)N[C@@H]2CCO[C@H]2c2ccnn2C(C)C)N=N1	Z2866904221	yes
C#CCCC1(CCC(=O)N2CCOCC2c2c(C)nn(C)c2C)N=N1	Z2866904223	yes
C#CCCC1(CCC(=O)N2CCOC(Cn3nc(C)cc3C)C2)N=N1	Z2866904225	yes
C#CCCC1(CCC(=O)N2CCN(Cc3nc(C)c(C)o3)CC2)N=N1	Z2866904227	yes
C#CCCC1(CCC(=O)N2CCC(c3ccc(OC)c(F)c3)C2)N=N1	Z2866904239	yes
C#CCCC1(CCC(=O)N2CCCC2c2ccc(OC)c(F)c2)N=N1	Z2866904241	yes
C#CCCC1(CCC(=O)N2CCCC2(COC)C(N)=O)N=N1	Z2866904252	yes
C#CCCC1(CCC(=O)NCCn2ccc3cc(Cl)ccc32)N=N1	Z2866904255	yes
C#CCCC1(CCC(=O)N2CCN(CCOC)C(=O)C2)N=N1	Z2866904257	yes
C#CCCC1(CCC(=O)N2CCCN(Cc3nccn3C)CC2)N=N1	Z2866904266	yes
C#CCCC1(CCC(=O)NCC2CCN(c3ccccc3F)C2)N=N1	Z2866904268	yes
C#CCCC1(CCC(=O)NCc2c(F)cccc2N2CCCC2)N=N1	Z2866904270	yes
